run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,15,block_15,67,183,0.268,3.78635433,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,16,block_16,67,183,0.268,4.47744947,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,17,block_17,67,183,0.268,3.87724404,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,18,block_18,67,183,0.268,4.02971739,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,19,block_19,67,183,0.268,4.63705907,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,20,block_20,67,183,0.268,3.89967104,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,21,block_21,67,183,0.268,3.96372613,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,22,block_22,67,183,0.268,3.80268783,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,23,block_23,67,183,0.268,5.00621226,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,24,block_24,67,183,0.268,4.76775197,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,25,block_25,67,183,0.268,4.59328356,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,26,block_26,67,183,0.268,5.63588427,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,27,block_27,67,183,0.268,4.69417737,2;4;3;2;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,0,block_0,69,181,0.276,1.23625214,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,1,block_1,69,181,0.276,1.44587226,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,2,block_2,69,181,0.276,2.66288752,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,3,block_3,69,181,0.276,2.96679566,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,4,block_4,69,181,0.276,1.56943443,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,5,block_5,69,181,0.276,1.85455866,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,6,block_6,69,181,0.276,3.4397229,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,7,block_7,69,181,0.276,1.49381002,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,8,block_8,69,181,0.276,1.80130716,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,9,block_9,69,181,0.276,1.91632207,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,10,block_10,69,181,0.276,1.36543422,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,11,block_11,69,181,0.276,1.70241208,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,12,block_12,69,181,0.276,1.74380507,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
