run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
sweep_K15_sw5_lam1.0_kmax4,15,5,1.0,250,28,12,2,124,20.833333333333332,15,12,1848,5152,0.264,66.0,0.0,184.0,4.231946,0.563151,118.494495,3.75,0,28,28,280,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K15_sw9_lam0.25_kmax4,15,9,0.25,250,28,10,2,193,25.0,15,10,2027,4973,0.2896,72.39,27.25454,177.61,1.374856,0.382928,38.495975,3.035714,3,87,87,103,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K15_sw9_lam0.5_kmax4,15,9,0.5,250,28,10,2,193,25.0,15,10,1877,5123,0.2681,67.04,0.185577,182.96,2.310105,0.400078,64.682951,3.067857,0,85,91,104,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K15_sw9_lam1.0_kmax4,15,9,1.0,250,28,10,2,193,25.0,15,10,1876,5124,0.268,67.0,0.0,183.0,4.16263,0.411439,116.553637,3.071429,0,84,92,104,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K20_sw2_lam0.25_kmax4,20,2,0.25,250,28,18,2,63,13.88888888888889,20,18,2071,4929,0.2959,73.96,20.217535,176.04,2.40437,0.775571,67.322359,3.446429,6,112,37,349,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K20_sw2_lam0.5_kmax4,20,2,0.5,250,28,18,2,63,13.88888888888889,20,18,1960,5040,0.28,70.0,0.0,180.0,3.900406,0.784972,109.211374,3.486111,0,112,35,357,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K20_sw2_lam1.0_kmax4,20,2,1.0,250,28,18,2,63,13.88888888888889,20,18,1960,5040,0.28,70.0,0.0,180.0,6.884106,0.784972,192.754964,3.486111,0,112,35,357,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,250,28,15,2,83,16.666666666666668,20,15,2050,4950,0.2929,73.21,21.13115,176.79,1.994176,0.634635,55.836918,3.454762,10,79,41,290,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,250,28,15,2,83,16.666666666666668,20,15,1933,5067,0.2761,69.04,0.185577,180.96,3.247688,0.661339,90.935263,3.5,1,83,41,295,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,250,28,15,2,83,16.666666666666668,20,15,1932,5068,0.276,69.0,0.0,181.0,5.727096,0.678521,160.358687,3.502381,0,84,41,295,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K20_sw5_lam0.25_kmax4,20,5,0.25,250,28,14,2,124,17.857142857142858,20,14,1995,5005,0.285,71.25,21.124842,178.75,1.807671,0.611537,50.614788,3.520408,3,33,113,243,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
